Lesson ID,Ээлжит хичээл,Үнэлгээний нэгж,Learning Objective ID,Суралцахуйн зорилт,Суралцахуйн үр дүн
L11,Тооны хуваагдах шинжүүд,"Тоон олонлог, зэрэг, язгуур",CZ-6.1б,"6.1б. Тооны хуваагдах шинжийг хэрэглэн өгсөн тоо 2, 3, 4, 5,6, 8, 9, 10, 100-д хуваагдах эсэхийг тогтоох, ерөнхий хуваагч, ерөнхий хуваагдагч, анхны ба зохиомол тоог таних, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олох, хэрэглэх ","2. Сурагч анхны ба зохиомол тоог таньдаг, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олж хэрэглэдэг, хэллэг, олонлогийн талаар ойлголттой болж, тоон олонлогийн нэгдэл, огтлолцлыг дүрсэлдэг, тэмдэглэдэг болно."
L12,Тооны хуваагдах шинжийг хэрэглэх,"Тоон олонлог, зэрэг, язгуур",CZ-6.1б,"6.1б. Тооны хуваагдах шинжийг хэрэглэн өгсөн тоо 2, 3, 4, 5,6, 8, 9, 10, 100-д хуваагдах эсэхийг тогтоох, ерөнхий хуваагч, ерөнхий хуваагдагч, анхны ба зохиомол тоог таних, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олох, хэрэглэх ","2. Сурагч анхны ба зохиомол тоог таньдаг, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олж хэрэглэдэг, хэллэг, олонлогийн талаар ойлголттой болж, тоон олонлогийн нэгдэл, огтлолцлыг дүрсэлдэг, тэмдэглэдэг болно."
L13,Анхны тоо ба зохиомол тоо,"Тоон олонлог, зэрэг, язгуур",CZ-6.1б,"6.1б. Тооны хуваагдах шинжийг хэрэглэн өгсөн тоо 2, 3, 4, 5,6, 8, 9, 10, 100-д хуваагдах эсэхийг тогтоох, ерөнхий хуваагч, ерөнхий хуваагдагч, анхны ба зохиомол тоог таних, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олох, хэрэглэх ","2. Сурагч анхны ба зохиомол тоог таньдаг, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олж хэрэглэдэг, хэллэг, олонлогийн талаар ойлголттой болж, тоон олонлогийн нэгдэл, огтлолцлыг дүрсэлдэг, тэмдэглэдэг болно."
L14,Бодлого дасгал (Тооны хуваагдах шинж),"Тоон олонлог, зэрэг, язгуур",CZ-6.1б,"6.1б. Тооны хуваагдах шинжийг хэрэглэн өгсөн тоо 2, 3, 4, 5,6, 8, 9, 10, 100-д хуваагдах эсэхийг тогтоох, ерөнхий хуваагч, ерөнхий хуваагдагч, анхны ба зохиомол тоог таних, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олох, хэрэглэх ","2. Сурагч анхны ба зохиомол тоог таньдаг, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олж хэрэглэдэг, хэллэг, олонлогийн талаар ойлголттой болж, тоон олонлогийн нэгдэл, огтлолцлыг дүрсэлдэг, тэмдэглэдэг болно."
L15,Ерөнхий хуваагч ба ХИЕХ,"Тоон олонлог, зэрэг, язгуур",CZ-6.1б,"6.1б. Тооны хуваагдах шинжийг хэрэглэн өгсөн тоо 2, 3, 4, 5,6, 8, 9, 10, 100-д хуваагдах эсэхийг тогтоох, ерөнхий хуваагч, ерөнхий хуваагдагч, анхны ба зохиомол тоог таних, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олох, хэрэглэх ","2. Сурагч анхны ба зохиомол тоог таньдаг, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олж хэрэглэдэг, хэллэг, олонлогийн талаар ойлголттой болж, тоон олонлогийн нэгдэл, огтлолцлыг дүрсэлдэг, тэмдэглэдэг болно."
L16,Харилцан анхны тоонууд (ХИЕХ ашиглан асуудал шийдвэрлэх),"Тоон олонлог, зэрэг, язгуур",CZ-6.1б,"6.1б. Тооны хуваагдах шинжийг хэрэглэн өгсөн тоо 2, 3, 4, 5,6, 8, 9, 10, 100-д хуваагдах эсэхийг тогтоох, ерөнхий хуваагч, ерөнхий хуваагдагч, анхны ба зохиомол тоог таних, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олох, хэрэглэх ","2. Сурагч анхны ба зохиомол тоог таньдаг, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олж хэрэглэдэг, хэллэг, олонлогийн талаар ойлголттой болж, тоон олонлогийн нэгдэл, огтлолцлыг дүрсэлдэг, тэмдэглэдэг болно."
L17,Ерөнхий хуваагдагч ба ХБЕХ,"Тоон олонлог, зэрэг, язгуур",CZ-6.1б,"6.1б. Тооны хуваагдах шинжийг хэрэглэн өгсөн тоо 2, 3, 4, 5,6, 8, 9, 10, 100-д хуваагдах эсэхийг тогтоох, ерөнхий хуваагч, ерөнхий хуваагдагч, анхны ба зохиомол тоог таних, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олох, хэрэглэх ","2. Сурагч анхны ба зохиомол тоог таньдаг, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олж хэрэглэдэг, хэллэг, олонлогийн талаар ойлголттой болж, тоон олонлогийн нэгдэл, огтлолцлыг дүрсэлдэг, тэмдэглэдэг болно."
L18,Бодлого дасгал (ХБЕХ ашиглан асуудал шийдвэрлэх),"Тоон олонлог, зэрэг, язгуур",CZ-6.1б,"6.1б. Тооны хуваагдах шинжийг хэрэглэн өгсөн тоо 2, 3, 4, 5,6, 8, 9, 10, 100-д хуваагдах эсэхийг тогтоох, ерөнхий хуваагч, ерөнхий хуваагдагч, анхны ба зохиомол тоог таних, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олох, хэрэглэх ","2. Сурагч анхны ба зохиомол тоог таньдаг, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олж хэрэглэдэг, хэллэг, олонлогийн талаар ойлголттой болж, тоон олонлогийн нэгдэл, огтлолцлыг дүрсэлдэг, тэмдэглэдэг болно."
L19,Хэллэг,"Тоон олонлог, зэрэг, язгуур",CZ-6.1г,"6.1г. Хэллэг, олонлогийн талаар анхны ойлголттой болох, тоон олонлогийн нэгдэл, огтлолцлыг олох, дүрслэх, тэмдэглэгээг хэрэглэх","2. Сурагч анхны ба зохиомол тоог таньдаг, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олж хэрэглэдэг, хэллэг, олонлогийн талаар ойлголттой болж, тоон олонлогийн нэгдэл, огтлолцлыг дүрсэлдэг, тэмдэглэдэг болно."
L20,Олонлог,"Тоон олонлог, зэрэг, язгуур",CZ-6.1г,"6.1г. Хэллэг, олонлогийн талаар анхны ойлголттой болох, тоон олонлогийн нэгдэл, огтлолцлыг олох, дүрслэх, тэмдэглэгээг хэрэглэх","2. Сурагч анхны ба зохиомол тоог таньдаг, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олж хэрэглэдэг, хэллэг, олонлогийн талаар ойлголттой болж, тоон олонлогийн нэгдэл, огтлолцлыг дүрсэлдэг, тэмдэглэдэг болно."
L21,"Бодлого дасгал (Олонлог, хэллэг)","Тоон олонлог, зэрэг, язгуур",CZ-6.1г,"6.1г. Хэллэг, олонлогийн талаар анхны ойлголттой болох, тоон олонлогийн нэгдэл, огтлолцлыг олох, дүрслэх, тэмдэглэгээг хэрэглэх","2. Сурагч анхны ба зохиомол тоог таньдаг, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олж хэрэглэдэг, хэллэг, олонлогийн талаар ойлголттой болж, тоон олонлогийн нэгдэл, огтлолцлыг дүрсэлдэг, тэмдэглэдэг болно."
L22,"ҮНЭЛГЭЭ-Тооны хуваагдах шинж, хэллэг, олонлог","Тоон олонлог, зэрэг, язгуур",CZ-6.1г,"6.1г. Хэллэг, олонлогийн талаар анхны ойлголттой болох, тоон олонлогийн нэгдэл, огтлолцлыг олох, дүрслэх, тэмдэглэгээг хэрэглэх","2. Сурагч анхны ба зохиомол тоог таньдаг, нэг ба хоёр оронтой тоонуудын ХИЕХ, ХБЕХ-ийг олж хэрэглэдэг, хэллэг, олонлогийн талаар ойлголттой болж, тоон олонлогийн нэгдэл, огтлолцлыг дүрсэлдэг, тэмдэглэдэг болно."
L23,Аравтын бутархай,"Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.1г,"6.1г. Хэллэг, олонлогийн талаар анхны ойлголттой болох, тоон олонлогийн нэгдэл, огтлолцлыг олох, дүрслэх, тэмдэглэгээг хэрэглэх","3. Сурагч аравтын бутархайг уншиж, бичдэг, 0.1, 0.01, 0.001- ээр үржүүлж, хуваадаг, аравтын бутархайг жишиж, эрэмбэлдэг, өгсөн нарийвчлалтай тоймлодог, хэрэглэдэг болно."
L24,"Тоог 0.1, 0.01, 0.001-ээр үржүүлэх, хуваах үйлдэл","Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.1г,"6.1г. Хэллэг, олонлогийн талаар анхны ойлголттой болох, тоон олонлогийн нэгдэл, огтлолцлыг олох, дүрслэх, тэмдэглэгээг хэрэглэх","3. Сурагч аравтын бутархайг уншиж, бичдэг, 0.1, 0.01, 0.001- ээр үржүүлж, хуваадаг, аравтын бутархайг жишиж, эрэмбэлдэг, өгсөн нарийвчлалтай тоймлодог, хэрэглэдэг болно."
L25,Аравтын бутархайг жиших ,"Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.1г,"6.1г. Хэллэг, олонлогийн талаар анхны ойлголттой болох, тоон олонлогийн нэгдэл, огтлолцлыг олох, дүрслэх, тэмдэглэгээг хэрэглэх","3. Сурагч аравтын бутархайг уншиж, бичдэг, 0.1, 0.01, 0.001- ээр үржүүлж, хуваадаг, аравтын бутархайг жишиж, эрэмбэлдэг, өгсөн нарийвчлалтай тоймлодог, хэрэглэдэг болно."
L26,"Бодлого дасгал (Аравтын бутархайг жиших, тоймлох)","Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.2б,"6.2б. Урт, хүнд, хугацааны хэмжээг ижил нэгжид шилжүүлэх замаар аравтын бутархайг жиших, эрэмбэлэх 6.2в. Олон оронтой тоог тоймлох, аравтын бутархайг (бүхлээр болон аравны, зууны, мянганы хэсгээр) тоймлох, хэрэглэх","3. Сурагч аравтын бутархайг уншиж, бичдэг, 0.1, 0.01, 0.001- ээр үржүүлж, хуваадаг, аравтын бутархайг жишиж, эрэмбэлдэг, өгсөн нарийвчлалтай тоймлодог, хэрэглэдэг болно."
L27,Бүхэл тоог тоймлох ,"Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.2б,"6.2б. Урт, хүнд, хугацааны хэмжээг ижил нэгжид шилжүүлэх замаар аравтын бутархайг жиших, эрэмбэлэх 6.2в. Олон оронтой тоог тоймлох, аравтын бутархайг (бүхлээр болон аравны, зууны, мянганы хэсгээр) тоймлох, хэрэглэх","3. Сурагч аравтын бутархайг уншиж, бичдэг, 0.1, 0.01, 0.001- ээр үржүүлж, хуваадаг, аравтын бутархайг жишиж, эрэмбэлдэг, өгсөн нарийвчлалтай тоймлодог, хэрэглэдэг болно."
L28,Аравтын бутархайг тоймлох,"Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.2б,"6.2б. Урт, хүнд, хугацааны хэмжээг ижил нэгжид шилжүүлэх замаар аравтын бутархайг жиших, эрэмбэлэх 6.2в. Олон оронтой тоог тоймлох, аравтын бутархайг (бүхлээр болон аравны, зууны, мянганы хэсгээр) тоймлох, хэрэглэх","3. Сурагч аравтын бутархайг уншиж, бичдэг, 0.1, 0.01, 0.001- ээр үржүүлж, хуваадаг, аравтын бутархайг жишиж, эрэмбэлдэг, өгсөн нарийвчлалтай тоймлодог, хэрэглэдэг болно."
L29,Тоог тоймлох,"Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.2б,"6.2б. Урт, хүнд, хугацааны хэмжээг ижил нэгжид шилжүүлэх замаар аравтын бутархайг жиших, эрэмбэлэх 6.2в. Олон оронтой тоог тоймлох, аравтын бутархайг (бүхлээр болон аравны, зууны, мянганы хэсгээр) тоймлох, хэрэглэх","3. Сурагч аравтын бутархайг уншиж, бичдэг, 0.1, 0.01, 0.001- ээр үржүүлж, хуваадаг, аравтын бутархайг жишиж, эрэмбэлдэг, өгсөн нарийвчлалтай тоймлодог, хэрэглэдэг болно."
L30,"ҮНЭЛГЭЭ-Аравтын бутархайг жиших, тоймлох","Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.2б,"6.2б. Урт, хүнд, хугацааны хэмжээг ижил нэгжид шилжүүлэх замаар аравтын бутархайг жиших, эрэмбэлэх 6.2в. Олон оронтой тоог тоймлох, аравтын бутархайг (бүхлээр болон аравны, зууны, мянганы хэсгээр) тоймлох, хэрэглэх","3. Сурагч аравтын бутархайг уншиж, бичдэг, 0.1, 0.01, 0.001- ээр үржүүлж, хуваадаг, аравтын бутархайг жишиж, эрэмбэлдэг, өгсөн нарийвчлалтай тоймлодог, хэрэглэдэг болно."
L31,"Аравтын бутархайн нэмэх, хасах үйлдэл","Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.2б,"6.2б. Урт, хүнд, хугацааны хэмжээг ижил нэгжид шилжүүлэх замаар аравтын бутархайг жиших, эрэмбэлэх 6.2в. Олон оронтой тоог тоймлох, аравтын бутархайг (бүхлээр болон аравны, зууны, мянганы хэсгээр) тоймлох, хэрэглэх","3. Сурагч аравтын бутархайг уншиж, бичдэг, 0.1, 0.01, 0.001- ээр үржүүлж, хуваадаг, аравтын бутархайг жишиж, эрэмбэлдэг, өгсөн нарийвчлалтай тоймлодог, хэрэглэдэг болно."
L32,"Аравтын бутархайн нэмэх, хасах үйлдэл оролцсон илэрхийлэл","Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.3а,"6.3а. Бүхэл ба бутархай хэсгийн орны тоо нь ялгаатай байх аравтын бутархайнуудыг нэмэх, хасах,","4. Сурагч аравтын бутархайн дөрвөн үйлдэл гүйцэтгэдэг, аравтын бутархай оролцсон тоон илэрхийллийн утгыг үйлдлийн дараалал, үйлдлийн чанар ашиглан хялбар аргаар тооцоолдог болно."
L33,"Аравтын бутархайг бүхэл тоогоор үржүүлэх, хуваах үйлдэл","Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.3б,"6.3б. Аравтын бутархайг нэг ба хоёр оронтой бүхэл тоогоор болон аравтын бутархайгаар үржүүлэх, хуваах 6.3в. Аравтын бутархай оролцсон илэрхийлэлд үйлдлийн дарааллын дүрэм, үйлдлийн чанарыг хэрэглэх, үйлдлийн дүнг урвуу үйлдлээр шалгах, хялбар аргаар тооцоолох","4. Сурагч аравтын бутархайн дөрвөн үйлдэл гүйцэтгэдэг, аравтын бутархай оролцсон тоон илэрхийллийн утгыг үйлдлийн дараалал, үйлдлийн чанар ашиглан хялбар аргаар тооцоолдог болно."
L34,"Аравтын бутархайг аравтын бутархайгаар үржүүлэх, хуваах үйлдэл","Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.3б,"6.3б. Аравтын бутархайг нэг ба хоёр оронтой бүхэл тоогоор болон аравтын бутархайгаар үржүүлэх, хуваах 6.3в. Аравтын бутархай оролцсон илэрхийлэлд үйлдлийн дарааллын дүрэм, үйлдлийн чанарыг хэрэглэх, үйлдлийн дүнг урвуу үйлдлээр шалгах, хялбар аргаар тооцоолох","4. Сурагч аравтын бутархайн дөрвөн үйлдэл гүйцэтгэдэг, аравтын бутархай оролцсон тоон илэрхийллийн утгыг үйлдлийн дараалал, үйлдлийн чанар ашиглан хялбар аргаар тооцоолдог болно."
L35,"Бодлого дасгал (аравтын бутархайн үржих, хуваах үйлдэл)","Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.3б,"6.3б. Аравтын бутархайг нэг ба хоёр оронтой бүхэл тоогоор болон аравтын бутархайгаар үржүүлэх, хуваах 6.3в. Аравтын бутархай оролцсон илэрхийлэлд үйлдлийн дарааллын дүрэм, үйлдлийн чанарыг хэрэглэх, үйлдлийн дүнг урвуу үйлдлээр шалгах, хялбар аргаар тооцоолох","4. Сурагч аравтын бутархайн дөрвөн үйлдэл гүйцэтгэдэг, аравтын бутархай оролцсон тоон илэрхийллийн утгыг үйлдлийн дараалал, үйлдлийн чанар ашиглан хялбар аргаар тооцоолдог болно."
L36,Аравтын бутархайн үйлдэл ашиглан асуудал шийдвэрлэх,"Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.3б,"6.3б. Аравтын бутархайг нэг ба хоёр оронтой бүхэл тоогоор болон аравтын бутархайгаар үржүүлэх, хуваах 6.3в. Аравтын бутархай оролцсон илэрхийлэлд үйлдлийн дарааллын дүрэм, үйлдлийн чанарыг хэрэглэх, үйлдлийн дүнг урвуу үйлдлээр шалгах, хялбар аргаар тооцоолох","4. Сурагч аравтын бутархайн дөрвөн үйлдэл гүйцэтгэдэг, аравтын бутархай оролцсон тоон илэрхийллийн утгыг үйлдлийн дараалал, үйлдлийн чанар ашиглан хялбар аргаар тооцоолдог болно."
L37,Илэрхийллийн утгыг олох,"Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.3б,"6.3б. Аравтын бутархайг нэг ба хоёр оронтой бүхэл тоогоор болон аравтын бутархайгаар үржүүлэх, хуваах 6.3в. Аравтын бутархай оролцсон илэрхийлэлд үйлдлийн дарааллын дүрэм, үйлдлийн чанарыг хэрэглэх, үйлдлийн дүнг урвуу үйлдлээр шалгах, хялбар аргаар тооцоолох","4. Сурагч аравтын бутархайн дөрвөн үйлдэл гүйцэтгэдэг, аравтын бутархай оролцсон тоон илэрхийллийн утгыг үйлдлийн дараалал, үйлдлийн чанар ашиглан хялбар аргаар тооцоолдог болно."
L38, Илэрхийллийн утгыг олох хялбар аргууд,"Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.3б,"6.3б. Аравтын бутархайг нэг ба хоёр оронтой бүхэл тоогоор болон аравтын бутархайгаар үржүүлэх, хуваах 6.3в. Аравтын бутархай оролцсон илэрхийлэлд үйлдлийн дарааллын дүрэм, үйлдлийн чанарыг хэрэглэх, үйлдлийн дүнг урвуу үйлдлээр шалгах, хялбар аргаар тооцоолох","4. Сурагч аравтын бутархайн дөрвөн үйлдэл гүйцэтгэдэг, аравтын бутархай оролцсон тоон илэрхийллийн утгыг үйлдлийн дараалал, үйлдлийн чанар ашиглан хялбар аргаар тооцоолдог болно."
L39,ҮНЭЛГЭЭ-Аравтын бутархайн 4 үйлдэл,"Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.3б,"6.3б. Аравтын бутархайг нэг ба хоёр оронтой бүхэл тоогоор болон аравтын бутархайгаар үржүүлэх, хуваах 6.3в. Аравтын бутархай оролцсон илэрхийлэлд үйлдлийн дарааллын дүрэм, үйлдлийн чанарыг хэрэглэх, үйлдлийн дүнг урвуу үйлдлээр шалгах, хялбар аргаар тооцоолох","4. Сурагч аравтын бутархайн дөрвөн үйлдэл гүйцэтгэдэг, аравтын бутархай оролцсон тоон илэрхийллийн утгыг үйлдлийн дараалал, үйлдлийн чанар ашиглан хялбар аргаар тооцоолдог болно."
L40,Энгийн бутархайн хэлбэрүүд,"Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.3г,"6.3г. Энгийн бутархайн үндсэн чанарыг хэрэглэн бутархайг хураах, тэнцүү бутархайнуудыг таних, засагдах бутархайг холимог бутархай, холимог бутархайг засагдах бутархай болгох 6.3д. Энгийн бутархайнуудыг ижил хуваарьтай болгох эсвэл тоон шулуун дээр тэмдэглэх замаар жиших, эрэмбэлэх","5. Сурагч энгийн бутархайг хурааж, тэнцүү бутархай үүсгэдэг, засагдах болон холимог хэлбэрийн бутархайг харилцан шилжүүлдэг, энгийн бутархайг жишдэг, эрэмбэлдэг болно."
L41,Энгийн бутархайг хураах үйлдэл,"Энгийн ба аравтын бутархай, тоог жиших, тоймлох",CZ-6.3г,"6.3г. Энгийн бутархайн үндсэн чанарыг хэрэглэн бутархайг хураах, тэнцүү бутархайнуудыг таних, засагдах бутархайг холимог бутархай, холимог бутархайг засагдах бутархай болгох 6.3д. Энгийн бутархайнуудыг ижил хуваарьтай болгох эсвэл тоон шулуун дээр тэмдэглэх замаар жиших, эрэмбэлэх","5. Сурагч энгийн бутархайг хурааж, тэнцүү бутархай үүсгэдэг, засагдах болон холимог хэлбэрийн бутархайг харилцан шилжүүлдэг, энгийн бутархайг жишдэг, эрэмбэлдэг болно."
